feature,coefficient
age,0.0108496910533657
educationNum,0.11031460346556145
hoursPerWeek,0.012232278702316201
workClass_vec_0,-0.05392165306678459
workClass_vec_1,-0.10685345672537894
workClass_vec_2,0.0255374820991284
workClass_vec_3,-0.07642380713751044
workClass_vec_4,0.3431091237803504
workClass_vec_5,0.27573214928032136
workClass_vec_6,0.49479580276119798
workClass_vec_7,-0.36109087145212264
maritalStatus_vec_0,-0.20451277955341093
maritalStatus_vec_1,-0.23328488848582477
maritalStatus_vec_2,-0.19714002591954061
maritalStatus_vec_3,-0.40011799040592940
maritalStatus_vec_4,-0.09770556060717556
maritalStatus_vec_5,0.38045387795277474
occupation_vec_0,0.43677667687274580
occupation_vec_1,-0.12915453428068366
occupation_vec_2,0.08751602813772340
occupation_vec_3,-0.34748141510791394
occupation_vec_4,-0.24263019246971895
occupation_vec_5,-0.17541858769925400
occupation_vec_6,-0.31883234546617740
occupation_vec_7,-0.25348087168884050
occupation_vec_8,0.14084630800024160
occupation_vec_9,0.11813270713102146
occupation_vec_10,-0.33399222478038900
occupation_vec_11,0.39114709422125304
occupation_vec_12,-0.20145388838799161
occupation_vec_13,-0.34690212960722816
relationship_vec_0,-0.26834267663167200
relationship_vec_1,0.54828686589476950
relationship_vec_3,-0.10941516585149525
relationship_vec_4,0.05904084919093222
race_vec_0,-0.21225900196446600
race_vec_1,0.22807854151605580
race_vec_2,0.09648780514968544
race_vec_3,-0.30514147294341360
sex_vec_0,0.19145602282693120
nativeCountry_vec_0,0.06616522389869859
nativeCountry_vec_1,-0.18055837956163301
nativeCountry_vec_2,0.26164520187434115
nativeCountry_vec_3,-0.27966693996244922
nativeCountry_vec_4,0.19873262161346517
nativeCountry_vec_5,-0.00879483998325050
nativeCountry_vec_6,0.23997610043717224
nativeCountry_vec_7,0.06804050908443576
nativeCountry_vec_8,-7.39114987412226e-05
nativeCountry_vec_9,-0.38229418062693510
nativeCountry_vec_10,0.04649465397552340
nativeCountry_vec_11,-0.29171395079633390
nativeCountry_vec_12,0.18526456422327861
nativeCountry_vec_13,-0.24565940964556393
nativeCountry_vec_14,-0.36579796591323255
nativeCountry_vec_15,-0.46758957984869600
nativeCountry_vec_16,-0.00500930044241560
nativeCountry_vec_17,-0.87201589291404210
nativeCountry_vec_18,-0.20326969644190412
nativeCountry_vec_19,0.19683356307881380
nativeCountry_vec_20,0.12713985727858670
nativeCountry_vec_21,0.04709787151078624
nativeCountry_vec_22,-0.24722666514895072
nativeCountry_vec_23,-0.40322852849049050
nativeCountry_vec_24,-0.14930312309936703
nativeCountry_vec_25,0.47012069737401382
nativeCountry_vec_26,0.28744081722174754
nativeCountry_vec_27,-0.41336929339645387
nativeCountry_vec_28,-0.06994939321719977
nativeCountry_vec_29,0.28475544858966140
nativeCountry_vec_30,-0.26039890652665280
nativeCountry_vec_31,0.15716833551046375
nativeCountry_vec_32,-0.27779515301254742
nativeCountry_vec_33,-0.31763055933755170
nativeCountry_vec_34,0.44513520445236870
nativeCountry_vec_35,-0.18541655979012898
nativeCountry_vec_36,0.12391404919500547
intercept,-3.823264437466449
